id,name,province_id
1103,ADALAR,34
2048,ARNAVUTK÷Y,34
2049,ATAﬁEH›R,34
2003,AVCILAR,34
2004,BA–CILAR,34
2005,BAH«EL›EVLER,34
1166,BAKIRK÷Y,34
2050,BAﬁAKﬁEH›R,34
1886,BAYRAMPAﬁA,34
1183,BEﬁ›KTAﬁ,34
1185,BEYKOZ,34
2051,BEYL›KD‹Z‹,34
1186,BEYO–LU,34
1782,B‹Y‹K«EKMECE,34
1237,«ATALCA,34
2052,«EKMEK÷Y,34
2016,ESENLER,34
2053,ESENYURT,34
1325,EY‹P,34
1327,FAT›H,34
1336,GAZ›OSMANPAﬁA,34
2010,G‹NG÷REN,34
1421,KADIK÷Y,34
1810,KA–ITHANE,34
1449,KARTAL,34
1823,K‹«‹K«EKMECE,34
2012,MALTEPE,34
1835,PEND›K,34
2054,SANCAKTEPE,34
1604,SARIYER,34
1622,S›L›VR›,34
2014,SULTANBEYL›,34
2055,SULTANGAZ›,34
1659,ﬁ›LE,34
1663,ﬁ›ﬁL›,34
2015,TUZLA,34
1852,‹MRAN›YE,34
1708,‹SK‹DAR,34
1739,ZEYT›NBURNU,34
1872,AKYURT,6
1130,ALTINDA–,6
1157,AYAﬁ,6
1167,BALA,6
1187,BEYPAZARI,6
1227,«AMLIDERE,6
1231,«ANKAYA,6
1260,«UBUK,6
1302,ELMADA–,6
1922,ET›MESGUT,6
1924,EVREN,6
1744,G÷LBAﬁI,6
1365,G‹D‹L,6
1387,HAYMANA,6
1815,KAHRAMANKAZAN,6
1427,KALEC›K,6
1745,KE«›÷REN,6
1473,KIZILCAHAMAM,6
1746,MAMAK,6
1539,NALLIHAN,6
1578,POLATLI,6
2034,PURSAKLAR,6
1747,S›NCAN,6
1658,ﬁEREFL›KO«H›SAR,6
1723,YEN›MAHALLE,6
1128,AL›A–A,35
2006,BAL«OVA,35
1178,BAYINDIR,35
2056,BAYRAKLI,35
1181,BERGAMA,35
1776,BEYDA–,35
1203,BORNOVA,35
1780,BUCA,35
1251,«EﬁME,35
2007,«›–L›,35
1280,D›K›L›,35
1334,FO«A,35
2009,GAZ›EM›R,35
2018,G‹ZELBAH«E,35
2057,KARABA–LAR,35
1432,KARABURUN,35
1448,KARﬁIYAKA,35
1461,KEMALPAﬁA,35
1467,KINIK,35
1477,K›RAZ,35
1819,KONAK,35
1826,MENDERES,35
1521,MENEMEN,35
2013,NARLIDERE,35
1563,÷DEM›ﬁ,35
1611,SEFER›H›SAR,35
1612,SEL«UK,35
1677,T›RE,35
1682,TORBALI,35
1703,URLA,35
1783,B‹Y‹KORHAN,16
1343,GEML›K,16
1935,G‹RSU,16
1799,HARMANCIK,16
1411,›NEG÷L,16
1420,›ZN›K,16
1434,KARACABEY,16
1457,KELES,16
1960,KESTEL,16
1530,MUDANYA,16
1535,MUSTAFAKEMALPAﬁA,16
1829,N›L‹FER,16
1553,ORHANEL›,16
1554,ORHANGAZ›,16
1832,OSMANGAZ›,16
1725,YEN›ﬁEH›R,16
1859,YILDIRIM,16
1757,ALADA–,1
1219,CEYHAN,1
2033,«UKUROVA,1
1329,FEKE,1
1806,›MAMO–LU,1
1437,KARA›SALI,1
1443,KARATAﬁ,1
1486,KOZAN,1
1580,POZANTI,1
1588,SA›MBEYL›,1
2032,SARI«AM,1
1104,SEYHAN,1
1687,TUFANBEYL›,1
1734,YUMURTALIK,1
1748,Y‹RE–›R,1
1182,BESN›,2
1246,«EL›KHAN,2
1347,GERGER,2
1354,G÷LBAﬁI,2
1425,KAHTA,2
1105,MERKEZ,2
1592,SAMSAT,2
1985,S›NC›K,2
1989,TUT,2
1771,BAﬁMAK«I,3
1773,BAYAT,3
1200,BOLVAD›N,3
1239,«AY,3
1906,«OBANLAR,3
1267,DAZKIRI,3
1281,D›NAR,3
1306,EM›RDA–,3
1923,EVC›LER,3
1944,HOCALAR,3
1404,›HSAN›YE,3
1809,›SCEH›SAR,3
1961,KIZIL÷REN,3
1108,MERKEZ,3
1594,SANDIKLI,3
1626,S›NANPAﬁA,3
1639,SULTANDA–I,3
1664,ﬁUHUT,3
1283,D›YAD›N,4
1287,DO–UBAYAZIT,4
1301,ELEﬁK›RT,4
1379,HAMUR,4
1111,MERKEZ,4
1568,PATNOS,4
1667,TAﬁLI«AY,4
1691,TUTAK,4
1860,A–A«÷REN,68
1921,ESK›L,68
1932,G‹LA–A«,68
1861,G‹ZELYURT,68
1120,MERKEZ,68
1557,ORTAK÷Y,68
1866,SARIYAHﬁ›,68
1363,G÷YN‹CEK,5
1368,G‹M‹ﬁHACIK÷Y,5
1938,HAMAM÷Z‹,5
1134,MERKEZ,5
1524,MERZ›FON,5
1641,SULUOVA,5
1668,TAﬁOVA,5
1121,AKSEK›,7
2035,AKSU,7
1126,ALANYA,7
1811,DEMRE,7
